text,pattern,docid
"Pursu-
ant to section 3(a) of House Resolution
670, the Journal of the last dayâ€™s pro-
ceedings is approved.
PLEDGE OF ALLEGIANCE","
The SPEAKER pro tempore.",CREC-2018-01-02.pdf.txt.1
"The
Chair will lead the House in the Pledge
of Allegiance.
The SPEAKER pro tempore led the
Pledge of Allegiance as follows:
I pledge allegiance to the Flag of the
United States of America, and to the Repub-
lic for which it stands, one nation under God,
indivisible, with liberty and justice for all.
f
ADJOURNMENT","
The SPEAKER pro tempore.",CREC-2018-01-02.pdf.txt.2
"Pursu-
ant to section 3(b) of House Resolution
670, the House stands adjourned until 11
a.m. on Wednesday, January 3, 2018.
Thereupon (at 12 oâ€™clock and 2 min-
utes p.m.), under its previous order, the
House adjourned until tomorrow,
Wednesday, January 3, 2018, at 11 a.m.
f
EXECUTIVE COMMUNICATIONS,
ETC.
Under clause 2 of rule XIV, executive
communications were taken from the
Speakerâ€™s table and referred as follows:
3568. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval of Missouri Air Quality Implementa-
tion Plans; Infrastructure SIP Requirements
for the 2010 Nitrogen Dioxide National Ambi-
ent Air Quality Standard [EPA-R07-OAR-
2017-0268; FRL-9971-69-Region 7] received De-
cember 8, 2017, pursuant to 5 U.S.C.
801(a)(1)(A); Public Law 104-121, Sec. 251; (110
Stat. 868); to the Committee on Energy and
Commerce.
3569. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval and Promulgation of Air Quality Im-
plementation Plans; Pennsylvania; Adoption
of Control Techniques Guidelines for Control
of Volatile Organic Compound Emissions
from Miscellaneous Metal Parts Surface
Coating, Miscellaneous Plastic Parts Surface
Coating, and Pleasure Craft Surface Coatings
[EPA-R03-OAR-2017-0437; FRL-9971-98-Region
3] received December 8, 2017, pursuant to 5
U.S.C. 801(a)(1)(A); Public Law 104-121, Sec.
251; (110 Stat. 868); to the Committee on En-
ergy and Commerce.
3570. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval of Missouri Air Quality Implementa-
tion Plans; Infrastructure SIP Requirements
for the 2012 Annual Fine Particulate Matter
(PM2.5) National Ambient Air Quality
Standard [EPA-R07-OAR-2017-0513; FRL-9971-
68-Region 7] received December 8, 2017, pur-
suant to 5 U.S.C. 801(a)(1)(A); Public Law 104-
121, Sec. 251; (110 Stat. 868); to the Committee
on Energy and Commerce.
3571. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval and Promulgation of Air Quality Im-
plementation Plans; Pennsylvania; Penn-
sylvaniaâ€™s Adoption of Control Techniques
Guidelines for Automobile and Light-Duty
Truck Assembly Coatings [EPA-R03-OAR-
2017-0342; FRL-9971-93-Region 3] received De-
cember 8, 2017, pursuant to 5 U.S.C.
801(a)(1)(A); Public Law 104-121, Sec. 251; (110
Stat. 868); to the Committee on Energy and
Commerce.
3572. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s final rule â€” Contingency Measures for
the 1997 PM2.5 Standards; California; San
Joaquin Valley; Correction of Deficiency
[EPA-R09-OAR-2017-0580; FRL-9972-02-Region
9] received December 8, 2017, pursuant to 5
U.S.C. 801(a)(1)(A); Public Law 104-121, Sec.
251; (110 Stat. 868); to the Committee on En-
ergy and Commerce.
3573. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval and Promulgation of Air Quality Im-
plementation Plans; Virginia; Amendment to
Ambient Air Quality Standard for Ozone
[EPA-R03-OAR-2016-0592; FRL-9971-41-Region
3] received December 8, 2017, pursuant to 5
U.S.C. 801(a)(1)(A); Public Law 104-121, Sec.
251; (110 Stat. 868); to the Committee on En-
ergy and Commerce.
3574. A letter from the Director, Regu-
latory Management Division, Environmental
VerDate Sep 11 2014 10:49 Jan 09, 2018 Jkt 079060 PO 00000 Frm 00001 Fmt 0636 Sfmt 0634 E:\ERIC\H02JA8.REC H02JA8
CONGRESSIONAL RECORD â€” HOUSE
H10432 January 2, 2018
Protection Agency, transmitting the Agen-
cyâ€™s final rule â€” Finding of Failure to Sub-
mit a Section 110 State Implementation Plan
for Interstate Transport for the 2012 Annual
National Ambient Air Quality Standards for
Fine Particles [EPA-R10-OAR-2017-0677; FRL-
9971-88-Region 10] received December 8, 2017,
pursuant to 5 U.S.C. 801(a)(1)(A); Public Law
104-121, Sec. 251; (110 Stat. 868); to the Com-
mittee on Energy and Commerce.
3575. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s withdrawal of direct final rule â€” Ap-
proval and Promulgation of Air Quality Im-
plementation Plans; West Virginia; Removal
of Clean Air Interstate Rule Trading Pro-
grams Replaced by Cross-State Air Pollution
Rule Trading Programs [EPA-R03-OAR-2016-
0574; FRL-9971-56-Region 3] received Decem-
ber 8, 2017, pursuant to 5 U.S.C. 801(a)(1)(A);
Public Law 104-121, Sec. 251; (110 Stat. 868); to
the Committee on Energy and Commerce.
3576. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s Major final rule â€” Renewable Fuel
Standard Program: Standards for 2018 and
Biomass-Based Diesel Volume for 2019 [EPA-
HQ-OAR-2017-0091; FRL-9971-73-OAR] (RIN:
2060-AT04) received December 8, 2017, pursu-
ant to 5 U.S.C. 801(a)(1)(A); Public Law 104-
121, Sec. 251; (110 Stat. 868); to the Committee
on Energy and Commerce.
3577. A letter from the Director, Regu-
latory Management Division, Environmental
Protection Agency, transmitting the Agen-
cyâ€™s final rule â€” Approval and Promulgation
of Implementation Plans; New Mexico; Albu-
querque and Bernalillo County; Regional
Haze Progress Report State Implementation
Plan [EPA-R06-OAR-2016-0406; FRL-9971-43-
Region 6] received December 8, 2017, pursu-
ant to 5 U.S.C. 801(a)(1)(A); Public Law 104-
121, Sec. 251; (110 Stat. 868); to the Committee
on Energy and Commerce.
PUBLIC BILLS AND RESOLUTIONS
Under clause 2 of rule XII,
Ms. JAYAPAL introduced a resolution
(H. Res. 674) honoring the life and
legacy of Alan Rabinowitz for his im-
measurable contributions to the city
of Seattle as a leading philan-
thropist, educator, community orga-
nizer, and public servant; which was
referred to the Committee on Over-
sight and Government Reform.
f
ADDITIONAL SPONSORS
Under clause 7 of rule XII, sponsors
were added to public bills and resolu-
tions, as follows:
H.R. 1646: Mr. WILSON of South Carolina.
H.R. 3222: Mr. MCEACHIN.
H.R. 3637: Ms. MCCOLLUM and Mr. MCGOV-
ERN.
H.R. 4710: Mr. COLLINS of New York.
VerDate Sep 11 2014 10:49 Jan 09, 2018 Jkt 079060 PO 00000 Frm 00002 Fmt 0636 Sfmt 0634 E:\ERIC\H02JA8.REC H02JA8
Congressional Record
U
NUM
E PLURIBU
S
United States
of America PROCEEDINGS AND DEBATES OF THE 115th
CONGRESS, FIRST SESSION
âˆ‘ This â€˜â€˜bulletâ€™â€™ symbol identifies statements or insertions which are not spoken by a Member of the Senate on the floor.
.
S8289
Vol. 163 WASHINGTON, TUESDAY, JANUARY 2, 2018 No. 215
Senate
The Senate met at 4 and 3 seconds
p.m. and was called to order by the
Honorable CHUCK GRASSLEY, a Senator
from the State of Iowa.
f
APPOINTMENT OF ACTING
PRESIDENT PRO TEMPORE","
The SPEAKER pro tempore.",CREC-2018-01-02.pdf.txt.3
"The
clerk will please read a communication
to the Senate from the President pro
tempore (Mr. HATCH).
The legislative clerk read the fol-
lowing letter:
U.S. SENATE,
PRESIDENT PRO TEMPORE,
Washington, DC, January 2, 2018.
To the Senate:
Under the provisions of rule I, paragraph 3,
of the Standing Rules of the Senate, I hereby
appoint the Honorable CHUCK GRASSLEY, a
Senator from the State of Iowa, to perform
the duties of the Chair.
ORRIN G. HATCH,
President pro tempore.
Mr. GRASSLEY thereupon assumed
the Chair as Acting President pro tem-
pore.
RECOGNITION OF THE MAJORITY
LEADER
The ACTING PRESIDENT pro tem-
pore. The majority leader is recog-
nized.
f
ORDER OF PROCEDURE
Mr. MCCONNELL. Mr. President, I
ask unanimous consent that I be recog-
nized for the purposes of propounding a
unanimous consent agreement.
The ACTING PRESIDENT pro tem-
pore. Is there objection?
Without objection, it is so ordered.
f
NOMINATIONS REMAINING IN
STATUS QUO
Mr. MCCONNELL. Mr. President, I
ask unanimous consent that notwith-
standing the order of December 21, 2017,
and the provisions of rule XXXI, all
uniformed military promotions pend-
ing in the Senate remain in status quo,
with the exception of the following:
PN765, PN540, and PN475, and that the
following defense civilian nomination
also be returned to the President:
PN1096. I further ask consent that the
previous order be modified to reflect
that PN1193 should be returned to the
President and PN1316 should remain in
status quo.
The ACTING PRESIDENT pro tem-
pore. Is there objection?
Without objection, it is so ordered.
f
ADJOURNMENT UNTIL
WEDNESDAY, JANUARY 3, 2018
The ACTING PRESIDENT pro tem-
pore. Under the previous order, the
Senate stands adjourned until 12 noon
on Wednesday, January 3, 2018.
Thereupon, the Senate, at 4:01 and 39
seconds p.m., adjourned until Wednes-
day, January 3, 2018, at 12 noon.
VerDate Sep 11 2014 03:01 Jan 03, 2018 Jkt 079060 PO 00000 Frm 00001 Fmt 0624 Sfmt 0634 E:\CR\FM\A02JA6.000 S02JAPT1
lotter
on
DSKBCFDHB2PROD
with
SENATE
EXTENSIONS OF REMARKS
âˆ‘ This â€˜â€˜bulletâ€™â€™ symbol identifies statements or insertions which are not spoken by a Member of the Senate on the floor.
Matter set in this typeface indicates words inserted or appended, rather than spoken, by a Member of the House on the floor.
CONGRESSIONAL RECORD â€” Extensions of Remarks E1767
January 2, 2018
PERSONAL EXPLANATION
HON. JOHN B. LARSON
OF CONNECTICUT
IN THE HOUSE OF REPRESENTATIVES
Tuesday, January 2, 2018
Mr. LARSON of Connecticut. Mr. Speaker,
on December 21, 2017 I missed roll call vote
710. Had I been present, I would have voted
â€˜â€˜yeaâ€™â€™ or â€˜â€˜ayeâ€™â€™.
VerDate Sep 11 2014 00:37 Jan 03, 2018 Jkt 079060 PO 00000 Frm 00001 Fmt 0626 Sfmt 9920 E:\CR\FM\A02JA8.001 E02JAPT1
dlhill
on
DSK3GLQ082PROD
with
REMARKS
D1371
Tuesday, January 2, 2018
Daily Digest
Senate
Chamber Action
The Senate met at 4:00:03 p.m. in pro forma ses-
sion, and adjourned at 4:01:39 p.m. until 12 noon,
on Wednesday, January 3, 2018.
Status Quo Nominationsâ€”Agreement: A unani-
mous-consent agreement was reached providing that
notwithstanding the order of December 21, 2017
and the provisions of Rule XXXI, all uniformed
military promotions pending in the Senate remain in
status quo, with the exception of the following: PN
765, PN 540, and PN 475, and that the following
defense civilian nomination also be returned to the
President: PN 1096; provided further that the pre-
vious order be modified to reflect that PN 1193
should be returned to the President and PN 1316
should remain status quo. Page S8289
Committee Meetings
No committee meetings were held.
h
House of Representatives
Chamber Action
Public Bills and Resolutions Introduced: 1 public
bill, H. Res. 674 was introduced. Page H10432
Additional Cosponsors: Page H10432
Reports Filed: There were no reports filed today.
Speaker: Read a letter from the Speaker wherein he
appointed Representative Arrington to act as Speaker
pro tempore for today. Page H10431
Quorum Callsâ€”Votes: There were no Yea and Nay
votes, and there were no Recorded votes. There were
no quorum calls.
Adjournment: The House met at 12 noon and ad-
journed at 12:02 p.m.
Committee Meetings
No hearings were held.
Joint Meetings
No joint committee meetings were held.
f
COMMITTEE MEETINGS FOR WEDNESDAY,
JANUARY 3, 2018
(Committee meetings are open unless otherwise indicated)
Senate
No meetings/hearings scheduled.
House
No hearings are scheduled.
VerDate Sep 11 2014 02:36 Jan 03, 2018 Jkt 079060 PO 00000 Frm 00001 Fmt 0627 Sfmt 0627 E:\CR\FM\D02JA8.REC D02JAPT1
dlhill
on
DSK3GLQ082PROD
with
DIGEST
CONGRESSIONAL RECORD â€” DAILY DIGEST
Congressional Record The Congressional Record (USPS 087â€“390). The Periodicals postage
is paid at Washington, D.C. The public proceedings of each House
of Congress, as reported by the Official Reporters thereof, are
printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United
States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when
two or more unusually small consecutive issues are printed one time. Â¶ Public access to the Congressional Record is available online through
the U.S. Government Publishing Office, at www.govinfo.gov, free of charge to the user. The information is updated online each day the
Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Publishing Office.
Phone 202â€“512â€“1800, or 866â€“512â€“1800 (toll-free). E-Mail, contactcenter@gpo.gov. Â¶ To place an order for any of these products, visit the U.S.
Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO
63197â€“9000, or phone orders to 866â€“512â€“1800 (toll-free), 202â€“512â€“1800 (D.C. area), or fax to 202â€“512â€“2104. Remit check or money order, made
payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. Â¶ Following
each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents
in individual parts or by sets. Â¶ With the exception of copyrighted articles, there are no restrictions on the republication of material from
the Congressional Record.
POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Publishing Office,
Washington, D.C. 20402, along with the entire mailing label from the last issue received.
U
NUM
E PLURIBU
S
D1372 January 2, 2018
Next Meeting of the SENATE
12 noon, Wednesday, January 3
Senate Chamber
Program for Wednesday: Senate will convene the 2nd
session of the 115th Congress and new Senators will be
sworn in.
At 5 p.m., Senate will begin consideration of the nom-
ination of John C. Rood, of Arizona, to be Under Sec-
retary of Defense for Policy, with a vote on confirmation
thereon at 5:30 p.m.
Next Meeting of the HOUSE OF REPRESENTATIVES
11 a.m., Wednesday, January 3
House Chamber
Program for Wednesday: House will meet in Pro
Forma session at 11 a.m.
Extensions of Remarks, as inserted in this issue
HOUSE
Larson, John B., Conn., E1767
VerDate Sep 11 2014 02:36 Jan 03, 2018 Jkt 079060 PO 00000 Frm 00002 Fmt 0664 Sfmt 0664 E:\CR\FM\D02JA8.REC D02JAPT1
dlhill
on
DSK3GLQ082PROD
with
DIGEST","
The PRESIDING OFFICER.",CREC-2018-01-02.pdf.txt.4
"The
Chair will lead the House in the Pledge
of Allegiance.
The Speaker pro tempore led the
Pledge of Allegiance as follows:
I pledge allegiance to the Flag of the
United States of America, and to the Repub-
lic for which it stands, one nation under God,
indivisible, with liberty and justice for all.
f
ANNOUNCEMENT BY THE SPEAKER
PRO TEMPORE","
The SPEAKER pro tempore.",CREC-2018-01-03-bk2.pdf.txt.1
"Pursu-
ant to section 4(a) of House Resolution
670, no organizational or legislative
business will be conducted on this day.
Bills and resolutions introduced
today will receive a number but will
not be referred to committee or noted
in the RECORD until a subsequent day.
Executive communications, memorials,
and petitions likewise will be referred
and numbered on a subsequent day.
f
ADJOURNMENT","
The SPEAKER pro tempore.",CREC-2018-01-03-bk2.pdf.txt.2
"Pursu-
ant to section 4(c) of House Resolution
670, the House stands adjourned until
noon on Friday, January 5, 2018.
Thereupon (at 12 oâ€™clock and 3 min-
utes p.m.), the House adjourned until
Friday, January 5, 2018, at noon.
f
REPORTS OF COMMITTEES ON
PUBLIC BILLS AND RESOLUTIONS
Under clause 2 of rule XIII, reports of
committees were delivered to the Clerk
for printing and reference to the proper
calendar, as follows:
Mr. ROYCE of California: Committee on
Foreign Affairs. H.R. 3776. A bill to support
United States international cyber diplo-
macy, and for other purposes; with an
amendment (Rept. 115â€“483). Referred to the
Committee of the Whole House on the state
of the Union.
Mr. ROYCE of California: Committee on
Foreign Affairs. H.R. 3445. A bill to enhance
the transparency and accelerate the impact
of programs under the African Growth and
Opportunity Act and the Millennium Chal-
lenge Corporation, and for other purposes
(Rept. 115â€“484). Referred to the Committee of
the Whole House on the state of the Union.
VerDate Sep 11 2014 04:54 Jan 04, 2018 Jkt 079060 PO 00000 Frm 00001 Fmt 4634 Sfmt 0634 E:\CR\FM\A03JA7.000 H03JAPT1
SSpencer
on
DSKBBXCHB2PROD
with
HOUSE
Congressional Record
U
NUM
E PLURIBU
S
United States
of America PROCEEDINGS AND DEBATES OF THE 115th
CONGRESS, SECOND SESSION
âˆ‘ This â€˜â€˜bulletâ€™â€™ symbol identifies statements or insertions which are not spoken by a Member of the Senate on the floor.
.
S1
Vol. 164 WASHINGTON, WEDNESDAY, JANUARY 3, 2018 No. 1
Senate
The 3d day of January being pre-
scribed by the Constitution of the
United States for the annual meeting
of the Congress, the 2d session of the
115th Congress commenced this day at
12 noon.
The Senate assembled in its Chamber
at the Capitol.
The Senate was called to order by the
Honorable THOM TILLIS, a Senator from
the State of North Carolina.
f
PRAYER
The Chaplain, Dr. Barry C. Black, of-
fered the following prayer:
Let us pray.
Everlasting God, our light and our
salvation, You are the strength and
shield of our Nation and world. Lord,
as we receive the gift of this new year,
we thank You for fresh starts and new
mercies.
May our lawmakers seize the seeds of
opportunity that reside in the soil of
their tomorrows, laboring diligently to
ensure an abundant harvest. Teach
them to number their days as they re-
member that they pass this way but
once. Lord, remind them that Your
hand is on the helm of human affairs
and that You still guide Your world.
Give our legislators the integrity to
strive to do all the good they can, for
as many as they can, for as long as
they can. Bless our Senators who are
leaving and those who are coming.
We pray in Your sovereign Name.
Amen.
f
PLEDGE OF ALLEGIANCE
The Presiding Officer led the Pledge
of Allegiance, as follows:
I pledge allegiance to the Flag of the
United States of America, and to the Repub-
lic for which it stands, one nation under God,
indivisible, with liberty and justice for all.
f
APPOINTMENT OF ACTING
PRESIDENT PRO TEMPORE","
The SPEAKER pro tempore.",CREC-2018-01-03-bk2.pdf.txt.3
"The
clerk will please read a communication
to the Senate from the President pro
tempore (Mr. HATCH).
The legislative clerk read the fol-
lowing letter:
U.S. SENATE,
PRESIDENT PRO TEMPORE,
Washington, DC, January 3, 2018.
To the Senate:
Under the provisions of rule I, paragraph 3,
of the Standing Rules of the Senate, I hereby
appoint the Honorable THOM TILLIS, a Sen-
ator from the State of North Carolina, to
perform the duties of the Chair.
ORRIN G. HATCH,
President pro tempore.
Mr. TILLIS thereupon assumed the
Chair as Acting President pro tempore.
f
CERTIFICATE OF ELECTION AND
CERTIFICATE OF APPOINTMENT","
The PRESIDING OFFICER.",CREC-2018-01-03-bk2.pdf.txt.4
"The Chair
lays before the Senate the certificate
of election to fill the unexpired term
for the State of Alabama and the cer-
tificate of appointment to fill the un-
expired term for the State of Min-
nesota. The certificates, the Chair is
advised, are in the form suggested by
the Senate or contain all the essential
requirements of the form suggested by
the Senate. If there be no objection,
the reading of the certificates will be
waived and they will be printed in full
in the RECORD.
There being no objection, the certifi-
cates were ordered to be printed in the
RECORD, as follows:
STATE OF ALABAMA
CERTIFICATE OF ELECTION FOR UNEXPIRED
TERM
To the President of the Senate of the United
States:
This is to certify that on the 12th day of
December, 2017, Doug Jones was duly chosen
by the qualified electors of the State of Ala-
bama a Senator for the unexpired term end-
ing at noon on the 3rd day of January, 2021,
to fill the vacancy in the representation
from said State in the Senate of the United
States caused by the appointment of the
Honorable Jeff Sessions to the position of
United States Attorney General.
Witness: Her Excellency our Governor Kay
Ivey, and our seal hereto affixed at 1:10 PM
this 28th day of December, in the year of our
Lord 2017.
By the Governor:
KAY IVEY,
Governor.
Attest:
JOHN H. MERRILL,
Secretary of State.
[State Seal Affixed]
STATE OF MINNESOTA
Executive Department
CERTIFICATE OF APPOINTMENT OF UNITED
STATES SENATOR FROM MINNESOTA
To the President of the Senate of the United
States:
This is to certify that, pursuant to the
power vested in me by the Constitution of
the United States and the laws of the State
of Minnesota, I, Mark B. Dayton, the Gov-
ernor of said State, do hereby appoint Tina
Smith a Senator from said State to rep-
resent said State in the Senate of the United
States until the vacancy therein, caused by
the resignation of Al Franken, is filled by
election as provided by law.
In witness whereof, I have hereunto set my
hand and caused the Great Seal of the State
of Minnesota to be affixed at the State Cap-
itol, in Saint Paul, Minnesota this 2nd day of
January, 2018.
MARK DAYTON,
Governor.
STEVE SIMON,
Secretary of State.
[State Seal Affixed]
f
ADMINISTRATION OF OATH OF
OFFICE","
The VICE PRESIDENT.",CREC-2018-01-03-bk2.pdf.txt.5
"If the Sen-
ator-elect and the Senator-designate to
be sworn in will now present them-
selves at the desk, the Chair will ad-
minister their oaths of office.
The Senator-elect, DOUG JONES, and
the Senator-designate, TINA SMITH, es-
corted by Mr. Biden, Ms. KLOBUCHAR,
and Mr. Mondale, respectively, ad-
vanced to the desk of the Vice Presi-
dent; the oath prescribed by law was
administered to them by the Vice
President; and they subscribed to the
oath in the Official Oath Book.","
The VICE PRESIDENT.",CREC-2018-01-03-bk2.pdf.txt.6
