congress,chamber,chamber_id,icpsr_id,state_icpsr,district_code,abbrev,party_code,party,born,died,speaker,firstname,stanford_core_id,repeat_last_name,new_core_id
115,House,0,21700,49,19,TX,200,republican,1972,,ARRINGTON,Jodey Cook,1,,x
115,House,0,21701,35,2,NE,200,republican,1963,,BACON,Donald J.,2,,x
115,House,0,21759,24,12,OH,200,republican,1962,,BALDERSON,Troy,3,,x
115,House,0,21702,22,3,IN,200,republican,1979,,BANKS,James E.,4,,x
115,House,0,21703,71,44,CA,100,democrat,1976,,BARRAGAN,Nanette Diaz,5,,x
115,House,0,21704,23,1,MI,200,republican,1947,,BERGMAN,John,6,,x
115,House,0,21705,61,5,AZ,200,republican,1958,,BIGGS,Andrew S.,7,,x
115,House,0,21706,11,1,DE,100,democrat,1962,,BLUNT ROCHESTER,Lisa,8,,x
115,House,0,21707,52,4,MD,100,democrat,1961,,BROWN,Anthony Gregory,9,x,x
115,House,0,21708,47,13,NC,200,republican,1971,,BUDD,Theodore Paul,10,,x
115,House,0,21709,71,24,CA,100,democrat,1964,,CARBAJAL,Salud,11,,x
115,House,0,21710,68,1,WY,200,republican,1966,,CHENEY,Liz,12,,x
115,House,0,21758,49,27,TX,200,republican,1975,,CLOUD,Michael,13,,x
115,House,0,21565,51,1,KY,200,republican,1972,,COMER,James,14,,x
115,House,0,21711,71,46,CA,100,democrat,1958,,CORREA,Jose Luis,15,,x
115,Senate,1,41700,65,0,NV,100,democrat,1964,,CORTEZ MASTO,Catherine Marie,16,,x
115,House,0,21712,43,13,FL,100,democrat,1956,,CRIST,Charlie Joseph Jr.,17,,x
115,House,0,21755,67,3,UT,200,republican,1960,,CURTIS,John R.,18,,x
115,House,0,21713,43,10,FL,100,democrat,1957,,DEMINGS,Valdez Butler,19,,x
115,House,0,21714,43,2,FL,200,republican,1953,,DUNN,Neal Patrick,20,,x
115,House,0,21715,13,13,NY,100,democrat,1954,,ESPAILLAT,Adriano J.,21,,x
115,House,0,21750,32,4,KS,200,republican,1956,,ESTES,Ron,22,,x
115,House,0,21566,14,2,PA,100,democrat,1954,,EVANS,Dwight,23,,x
115,House,0,21716,13,19,NY,200,republican,1952,,FASO,John J.,24,,x
115,House,0,21717,44,3,GA,200,republican,1967,,FERGUSON,Anderson Drew IV,25,,x
115,House,0,21719,43,1,FL,200,republican,1982,,GAETZ,Matthew L. II,26,,x
115,House,0,21720,25,8,WI,200,republican,1984,,GALLAGHER,Michael,27,,x
115,House,0,21751,64,1,MT,200,republican,1961,,GIANFORTE,Greg,28,,x
115,House,0,21754,71,34,CA,100,democrat,1974,,GOMEZ,Jimmy,29,,x
115,House,0,21722,49,15,TX,100,democrat,1967,,GONZALEZ,Vicente Jr.,30,,x
115,House,0,21723,12,5,NJ,100,democrat,1975,,GOTTHEIMER,Josh S.,31,,x
115,Senate,1,29566,48,0,SC,200,republican,1955,,GRAHAM,Lindsey O.,32,,x
115,House,0,21124,82,1,HI,100,democrat,1951,,HANABUSA,Colleen,33,,x
115,House,0,21752,44,6,GA,200,republican,1962,,HANDEL,Karen,34,,x
115,House,0,21139,52,1,MD,200,republican,1957,,HARRIS,Andy,35,x,x
115,Senate,1,41701,71,0,CA,100,democrat,1964,,HARRIS,Kamala Devi,36,x,x
115,Senate,1,41702,4,0,NH,100,democrat,1958,,HASSAN,Margaret (Maggie),37,,x
115,House,0,21369,73,10,WA,100,democrat,1952,,HECK,Denny,38,,x
115,House,0,21760,53,1,OK,200,republican,1961,,HERN,Kevin,39,,x
115,House,0,20519,13,26,NY,100,democrat,1959,,HIGGINS,Brian,40,x,x
115,House,0,21724,45,3,LA,200,republican,1961,,HIGGINS,Clay,41,x,x
115,House,0,21725,22,9,IN,200,republican,1983,,HOLLINGSWORTH,Joseph Albert III,42,,x
115,Senate,1,41707,46,0,MS,200,republican,1959,,HYDE-SMITH,Cindy,43,,x
115,House,0,21726,73,7,WA,100,democrat,1965,,JAYAPAL,Pramila,44,,x
115,House,0,21727,45,4,LA,200,republican,1972,,JOHNSON,Mike,45,x,x
115,House,0,21764,23,13,MI,100,democrat,1959,,JONES,Brenda,46,x,x
115,Senate,1,41705,41,0,AL,100,democrat,1954,,JONES,Gordon Douglas (Doug),47,x,x
115,House,0,29546,47,3,NC,200,republican,1943,,JONES,Walter Beaman,48,x,x
115,Senate,1,41703,45,0,LA,200,republican,1951,,KENNEDY,John Neely,49,x,x
115,House,0,21335,3,4,MA,100,democrat,1980,,KENNEDY,Joseph P. III,50,x,x
115,House,0,21728,71,17,CA,100,democrat,1976,,KHANNA,Rohit,51,,x
115,House,0,21729,65,4,NV,100,democrat,1980,,KIHUEN,Ruben Jesus,52,,x
115,House,0,21730,21,8,IL,100,democrat,1973,,KRISHNAMOORTHI,S. Raja,53,,x
115,House,0,21731,54,8,TN,200,republican,1966,,KUSTOFF,David,54,,x
115,Senate,1,15429,61,0,AZ,200,republican,1942,,KYL,Jon Llewellyn,55,,x
115,House,0,21756,14,18,PA,100,democrat,1984,,LAMB,Conor,56,,x
115,House,0,21732,43,5,FL,100,democrat,1948,,LAWSON,Alfred Jr.,57,,x
115,House,0,21757,61,8,AZ,200,republican,1958,,LESKO,Debbie,58,,x
115,House,0,21733,33,2,MN,200,republican,1955,,LEWIS,Jason Mark,59,x,x
115,House,0,15431,44,5,GA,100,democrat,1940,,LEWIS,John R.,60,x,x
115,House,0,21734,32,1,KS,200,republican,1960,,MARSHALL,Roger Wayne,61,,
115,House,0,21735,43,18,FL,200,republican,1980,,MAST,Brian Jeffery,62,,x
115,House,0,21736,40,4,VA,100,democrat,1961,,MCEACHIN,Aston Donald,63,,x
115,House,0,21737,23,10,MI,200,republican,1961,,MITCHELL,Paul,64,,x
115,House,0,21761,13,25,NY,100,democrat,1957,,MORELLE,Joseph D.,65,,x
115,House,0,21738,43,7,FL,100,democrat,1978,,MURPHY,Stephanie,66,x,x
115,House,0,21753,48,5,SC,200,republican,1953,,NORMAN,Ralph,67,,x
115,House,0,21739,61,1,AZ,100,democrat,1946,,OHALLERAN,Thomas C.,68,,x
115,House,0,21740,71,20,CA,100,democrat,1969,,PANETTA,James Varni,69,,x
115,House,0,21741,52,8,MD,100,democrat,1962,,RASKIN,Jamie Ben,70,,x
115,House,0,21742,43,19,FL,200,republican,1953,,ROONEY,Francis,71,x,x
